date,month,percentage change,industry
Dec-07,0,0,Nonfarming
Dec-07,0,0,Mining and Logging
Dec-07,0,0,Construction
Dec-07,0,0,Manufacturing
Dec-07,0,0,"Trade, Transportation and Utilities"
Dec-07,0,0,Information
Dec-07,0,0,Financial Activities
Dec-07,0,0,Professional and Business
Dec-07,0,0,Education and Health
Dec-07,0,0,Leisure and Hospitality
Dec-07,0,0,Other Services
Dec-07,0,0,Government
Jan-08,1,0.010842067,Nonfarming
Jan-08,1,0.8108108,Mining and Logging
Jan-08,1,-0.18691589,Construction
Jan-08,1,-0.15277171,Manufacturing
Jan-08,1,0,"Trade, Transportation and Utilities"
Jan-08,1,0.066137567,Information
Jan-08,1,-0.060371891,Financial Activities
Jan-08,1,-0.077558033,Professional and Business
Jan-08,1,0.27039924,Education and Health
Jan-08,1,-0.059040591,Leisure and Hospitality
Jan-08,1,0.10877448,Other Services
Jan-08,1,0.053628888,Government
Feb-08,2,-0.052041922,Nonfarming
Feb-08,2,1.081081,Mining and Logging
Feb-08,2,-0.493992,Construction
Feb-08,2,-0.36374217,Manufacturing
Feb-08,2,-0.19091113,"Trade, Transportation and Utilities"
Feb-08,2,-0.1984127,Information
Feb-08,2,-0.16904129,Financial Activities
Feb-08,2,-0.34347129,Professional and Business
Feb-08,2,0.47187316,Education and Health
Feb-08,2,-0.051660515,Leisure and Hospitality
Feb-08,2,0.30819434,Other Services
Feb-08,2,0.18323204,Government
Mar-08,3,-0.10914347,Nonfarming
Mar-08,3,2.0270271,Mining and Logging
Mar-08,3,-1.1214954,Construction
Mar-08,3,-0.63291138,Manufacturing
Mar-08,3,-0.30321181,"Trade, Transportation and Utilities"
Mar-08,3,-0.099206351,Information
Mar-08,3,-0.19319005,Financial Activities
Mar-08,3,-0.57614535,Professional and Business
Mar-08,3,0.73166853,Education and Health
Mar-08,3,-0.1402214,Leisure and Hospitality
Mar-08,3,0.41696882,Other Services
Mar-08,3,0.29942796,Government
Apr-08,4,-0.26310083,Nonfarming
Apr-08,4,2.0270271,Mining and Logging
Apr-08,4,-2.176235,Construction
Apr-08,4,-1.069402,Manufacturing
Apr-08,4,-0.65508723,"Trade, Transportation and Utilities"
Apr-08,4,-0.3968254,Information
Apr-08,4,-0.28978509,Financial Activities
Apr-08,4,-0.60384464,Professional and Business
Apr-08,4,1.0179735,Education and Health
Apr-08,4,-0.28782287,Leisure and Hospitality
Apr-08,4,0.4350979,Other Services
Apr-08,4,0.33071148,Government
May-08,5,-0.39537406,Nonfarming
May-08,5,2.8378379,Mining and Logging
May-08,5,-2.8838451,Construction
May-08,5,-1.3240216,Manufacturing
May-08,5,-0.95081228,"Trade, Transportation and Utilities"
May-08,5,-0.56216931,Information
May-08,5,-0.4346776,Financial Activities
May-08,5,-0.96393549,Professional and Business
May-08,5,1.2512592,Education and Health
May-08,5,-0.38376385,Leisure and Hospitality
May-08,5,0.36258158,Other Services
May-08,5,0.47819093,Government
Jun-08,6,-0.51969641,Nonfarming
Jun-08,6,3.5135136,Mining and Logging
Jun-08,6,-3.6982644,Construction
Jun-08,6,-1.7605121,Manufacturing
Jun-08,6,-1.1941304,"Trade, Transportation and Utilities"
Jun-08,6,-0.76058203,Information
Jun-08,6,-0.55542141,Financial Activities
Jun-08,6,-1.1301312,Professional and Business
Jun-08,6,1.5057526,Education and Health
Jun-08,6,-0.501845,Leisure and Hospitality
Jun-08,6,0.16316171,Other Services
Jun-08,6,0.63013941,Government
Jul-08,7,-0.67148536,Nonfarming
Jul-08,7,4.0540543,Mining and Logging
Jul-08,7,-4.4058747,Construction
Jul-08,7,-2.2988505,Manufacturing
Jul-08,7,-1.4299618,"Trade, Transportation and Utilities"
Jul-08,7,-1.223545,Information
Jul-08,7,-0.7606858,Financial Activities
Jul-08,7,-1.5456208,Professional and Business
Jul-08,7,1.7920576,Education and Health
Jul-08,7,-0.64206642,Leisure and Hospitality
Jul-08,7,0.090645395,Other Services
Jul-08,7,0.85806221,Government
Aug-08,8,-0.85869175,Nonfarming
Aug-08,8,5.1351352,Mining and Logging
Aug-08,8,-5.0200267,Construction
Aug-08,8,-2.8226392,Manufacturing
Aug-08,8,-1.7706071,"Trade, Transportation and Utilities"
Aug-08,8,-1.6534392,Information
Aug-08,8,-0.94180149,Financial Activities
Aug-08,8,-1.8613927,Professional and Business
Aug-08,8,2.15259,Education and Health
Aug-08,8,-0.87822878,Leisure and Hospitality
Aug-08,8,-0.054387238,Other Services
Aug-08,8,0.85359311,Government
Sep-08,9,-1.1853993,Nonfarming
Sep-08,9,5.6756759,Mining and Logging
Sep-08,9,-5.9546061,Construction
Sep-08,9,-3.4264514,Manufacturing
Sep-08,9,-2.2123232,"Trade, Transportation and Utilities"
Sep-08,9,-2.0833333,Information
Sep-08,9,-1.3523303,Financial Activities
Sep-08,9,-2.1993241,Professional and Business
Sep-08,9,2.1844018,Education and Health
Sep-08,9,-1.2619926,Leisure and Hospitality
Sep-08,9,-0.072516315,Other Services
Sep-08,9,0.71952093,Government
Oct-08,10,-1.5294542,Nonfarming
Oct-08,10,5.5405407,Mining and Logging
Oct-08,10,-6.9826436,Construction
Oct-08,10,-4.3576312,Manufacturing
Oct-08,10,-2.6577826,"Trade, Transportation and Utilities"
Oct-08,10,-2.4801588,Information
Oct-08,10,-1.7387104,Financial Activities
Oct-08,10,-2.830868,Professional and Business
Oct-08,10,2.2798367,Education and Health
Oct-08,10,-1.4612546,Leisure and Hospitality
Oct-08,10,0,Other Services
Oct-08,10,0.77314979,Government
Nov-08,11,-2.0823996,Nonfarming
Nov-08,11,4.8648648,Mining and Logging
Nov-08,11,-9.0387182,Construction
Nov-08,11,-5.1796885,Manufacturing
